"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"1",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B0","Size",0.057,0.12,0.084,0.08,0.05,0.101,0.091,0.101
"2",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B1","Size",0.054,0.116,0.088,0.08,0.04,0.102,0.09,0.102
"3",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B2","Size",0.05,0.102,0.074,0.065,0.04,0.087,0.076,0.087
"4",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B3","Size",0.047,0.15,0.106,0.091,0.052,0.122,0.109,0.122
"5",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B4","Size",0.048,0.107,0.074,0.066,0.039,0.093,0.08,0.093
"6",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B0","Power",0.099,0.179,0.13,0.119,0.082,0.158,0.137,0.158
"7",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B1","Power",0.098,0.184,0.13,0.118,0.066,0.162,0.14,0.162
"8",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B2","Power",0.732,0.814,0.753,0.733,0.631,0.789,0.765,0.789
"9",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B3","Power",0.8,0.875,0.839,0.801,0.674,0.853,0.83,0.853
"10",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,485987713,"B4","Power",0.048,0.107,0.074,0.066,0.039,0.093,0.08,0.093
"11",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B0","Size",0.05,0.078,0.065,0.062,0.04,0.07,0.066,0.07
"12",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B1","Size",0.051,0.077,0.059,0.053,0.036,0.07,0.065,0.07
"13",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B2","Size",0.055,0.078,0.067,0.061,0.049,0.076,0.07,0.076
"14",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B3","Size",0.061,0.11,0.095,0.085,0.059,0.104,0.097,0.104
"15",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B4","Size",0.049,0.072,0.064,0.06,0.043,0.07,0.066,0.07
"16",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B0","Power",0.141,0.211,0.186,0.174,0.131,0.198,0.189,0.198
"17",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B1","Power",0.169,0.214,0.195,0.178,0.148,0.203,0.198,0.203
"18",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B2","Power",0.968,0.972,0.965,0.962,0.95,0.969,0.966,0.969
"19",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B3","Power",0.985,0.987,0.986,0.983,0.969,0.986,0.985,0.986
"20",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,841450307,"B4","Power",0.049,0.072,0.064,0.06,0.043,0.07,0.066,0.07
"21",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B0","Size",0.045,0.055,0.05,0.049,0.043,0.051,0.05,0.051
"22",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,336279573,"B1","Size",0.054,0.066,0.062,0.06,0.051,0.065,0.062,0.065
