"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3"
"1",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B0","Size",0.055,0.128,0.084,0.073,0.044
"2",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B1","Size",0.053,0.114,0.075,0.065,0.039
"3",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B2","Size",0.044,0.091,0.067,0.058,0.032
"4",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B3","Size",0.057,0.14,0.107,0.089,0.039
"5",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B4","Size",0.047,0.101,0.074,0.069,0.033
"6",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B0","Power",0.108,0.161,0.125,0.117,0.072
"7",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B1","Power",0.116,0.189,0.142,0.134,0.08
"8",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B2","Power",0.716,0.777,0.73,0.705,0.582
"9",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B3","Power",0.807,0.862,0.82,0.794,0.668
"10",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1008628385,"B4","Power",0.047,0.101,0.074,0.069,0.033
"11",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B0","Size",0.043,0.066,0.058,0.057,0.041
"12",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B1","Size",0.049,0.074,0.064,0.057,0.035
"13",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B2","Size",0.05,0.07,0.06,0.058,0.045
"14",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B3","Size",0.042,0.089,0.082,0.073,0.048
"15",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B4","Size",0.045,0.065,0.054,0.051,0.042
"16",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B0","Power",0.139,0.195,0.166,0.159,0.127
"17",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B1","Power",0.193,0.244,0.216,0.202,0.163
"18",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B2","Power",0.959,0.977,0.967,0.962,0.945
"19",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B3","Power",0.987,0.988,0.985,0.981,0.966
"20",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,158084258,"B4","Power",0.045,0.065,0.054,0.051,0.042
"21",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B0","Size",0.047,0.061,0.051,0.048,0.04
"22",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B1","Size",0.049,0.063,0.058,0.058,0.047
"23",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B2","Size",0.057,0.066,0.063,0.062,0.052
"24",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B3","Size",0.05,0.091,0.077,0.07,0.059
"25",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B4","Size",0.048,0.058,0.055,0.054,0.049
"26",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B0","Power",0.248,0.279,0.254,0.244,0.231
"27",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B1","Power",0.322,0.346,0.329,0.321,0.288
"28",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B2","Power",1,1,1,1,0.999
"29",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B3","Power",1,1,1,1,1
"30",100,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,504375020,"B4","Power",0.048,0.058,0.055,0.054,0.049
"31",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B0","Size",0.045,0.053,0.051,0.048,0.046
"32",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B1","Size",0.044,0.051,0.049,0.047,0.043
"33",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B2","Size",0.05,0.058,0.056,0.056,0.051
"34",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B3","Size",0.058,0.055,0.052,0.05,0.047
"35",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B4","Size",0.063,0.07,0.067,0.067,0.063
"36",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B0","Power",0.54,0.566,0.558,0.553,0.546
"37",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B1","Power",0.664,0.678,0.671,0.668,0.657
"38",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B2","Power",1,1,1,1,1
"39",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B3","Power",1,1,1,1,1
"40",250,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,767459896,"B4","Power",0.063,0.07,0.067,0.067,0.063
"41",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B0","Size",0.049,0.053,0.053,0.053,0.048
"42",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B1","Size",0.054,0.059,0.056,0.056,0.056
"43",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B2","Size",0.059,0.061,0.06,0.059,0.056
"44",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B3","Size",0.046,0.055,0.053,0.053,0.051
"45",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B4","Size",0.057,0.065,0.063,0.063,0.06
"46",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B0","Power",0.848,0.846,0.84,0.839,0.835
"47",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B1","Power",0.92,0.922,0.921,0.919,0.916
"48",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B2","Power",1,1,1,1,1
"49",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B3","Power",1,1,1,1,1
"50",500,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,136526762,"B4","Power",0.057,0.065,0.063,0.063,0.06
"51",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B0","Size",0.05,0.053,0.053,0.052,0.051
"52",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B1","Size",0.052,0.051,0.051,0.051,0.05
"53",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B2","Size",0.049,0.049,0.049,0.049,0.049
"54",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B3","Size",0.055,0.066,0.064,0.064,0.061
"55",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B4","Size",0.05,0.055,0.054,0.054,0.054
"56",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B0","Power",0.982,0.984,0.984,0.984,0.984
"57",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B1","Power",0.999,0.999,0.999,0.999,0.999
"58",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B2","Power",1,1,1,1,1
"59",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B3","Power",1,1,1,1,1
"60",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,744849177,"B4","Power",0.05,0.055,0.054,0.054,0.054
"61",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,826975259,"B0","Size",0.043,0.09,0.069,0.064,0.037
