"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"1",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","power","naive",0,0,0
"2",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","power","Satt",0,0,0
"3",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","power","saddle_V1",0,0,0
"4",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","power","saddle_V2",0,0,0
"5",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","size","naive",0,0,1
"6",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","size","Satt",0,0,1
"7",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","size","saddle_V1",0,0,1
"8",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x0","size","saddle_V2",0,0,1
"9",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","power","naive",0,1,1
"10",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","power","Satt",0,1,1
"11",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","power","saddle_V1",0,0,1
"12",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","power","saddle_V2",0,0,1
"13",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","size","naive",0,0,0
"14",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","size","Satt",0,0,0
"15",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","size","saddle_V1",0,0,0
"16",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x1","size","saddle_V2",0,0,0
"17",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","power","naive",0,0,1
"18",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","power","Satt",0,0,1
"19",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","power","saddle_V1",0,0,1
"20",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","power","saddle_V2",0,0,1
"21",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","size","naive",0,0,0
"22",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","size","Satt",0,0,0
"23",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","size","saddle_V1",0,0,0
"24",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x2","size","saddle_V2",0,0,0
"25",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","power","naive",0,1,1
"26",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","power","Satt",0,1,1
"27",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","power","saddle_V1",0,1,1
"28",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","power","saddle_V2",0,0,1
"29",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","size","naive",0,0,0
"30",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","size","Satt",0,0,0
"31",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","size","saddle_V1",0,0,0
"32",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x3","size","saddle_V2",0,0,0
"33",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","power","naive",0,0,0
"34",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","power","Satt",0,0,0
"35",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","power","saddle_V1",0,0,0
"36",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","power","saddle_V2",0,0,0
"37",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","size","naive",0,0,0
"38",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","size","Satt",0,0,0
"39",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","size","saddle_V1",0,0,0
"40",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC1","x4","size","saddle_V2",0,0,0
"41",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","power","naive",0,0,0
"42",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","power","Satt",0,0,0
"43",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","power","saddle_V1",0,0,0
"44",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","power","saddle_V2",0,0,0
"45",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","size","naive",0,0,0
"46",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","size","Satt",0,0,0
"47",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","size","saddle_V1",0,0,0
"48",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x0","size","saddle_V2",0,0,0
"49",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","power","naive",0,0,0
"50",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","power","Satt",0,0,0
"51",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","power","saddle_V1",0,0,0
"52",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","power","saddle_V2",0,0,0
"53",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","size","naive",0,0,0
"54",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","size","Satt",0,0,0
"55",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","size","saddle_V1",0,0,0
"56",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x1","size","saddle_V2",0,0,0
"57",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","power","naive",0,0,0
"58",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","power","Satt",0,0,0
"59",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","power","saddle_V1",0,0,0
"60",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","power","saddle_V2",0,0,0
"61",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","size","naive",0,0,0
"62",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","size","Satt",0,0,0
"63",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","size","saddle_V1",0,0,0
"64",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x2","size","saddle_V2",0,0,0
"65",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","power","naive",0,0,1
"66",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","power","Satt",0,0,1
"67",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","power","saddle_V1",0,0,1
"68",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","power","saddle_V2",0,0,0
"69",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","size","naive",0,0,0
"70",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","size","Satt",0,0,0
"71",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","size","saddle_V1",0,0,0
"72",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x3","size","saddle_V2",0,0,0
"73",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","power","naive",0,0,0
"74",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","power","Satt",0,0,0
"75",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","power","saddle_V1",0,0,0
"76",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","power","saddle_V2",0,0,0
"77",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","size","naive",0,0,0
"78",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","size","Satt",0,0,0
"79",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","size","saddle_V1",0,0,0
"80",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC3","x4","size","saddle_V2",0,0,0
"81",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","power","naive",0,0,0
"82",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","power","Satt",0,0,0
"83",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","power","saddle_V1",0,0,0
"84",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","power","saddle_V2",0,0,0
"85",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","size","naive",0,0,0
"86",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","size","Satt",0,0,0
"87",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","size","saddle_V1",0,0,0
"88",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x0","size","saddle_V2",0,0,0
"89",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","power","naive",0,0,0
"90",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","power","Satt",0,0,0
"91",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","power","saddle_V1",0,0,0
"92",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","power","saddle_V2",0,0,0
