"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"1",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x0","power","saddle_V1",0.03,0.15,0.22
"2",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x0","power","saddle_V2",0.03,0.11,0.19
"3",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x0","size","saddle_V1",0.01,0.11,0.2
"4",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x0","size","saddle_V2",0.01,0.07,0.12
"5",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x1","power","saddle_V1",0.07,0.19,0.24
"6",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x1","power","saddle_V2",0.02,0.17,0.22
"7",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x1","size","saddle_V1",0.01,0.09,0.2
"8",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x1","size","saddle_V2",0.01,0.06,0.17
"9",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x2","power","saddle_V1",0.54,0.74,0.82
"10",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x2","power","saddle_V2",0.42,0.71,0.79
"11",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x2","size","saddle_V1",0.04,0.09,0.18
"12",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x2","size","saddle_V2",0.02,0.07,0.17
"13",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x3","power","saddle_V1",0.67,0.89,0.94
"14",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x3","power","saddle_V2",0.59,0.86,0.93
"15",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x3","size","saddle_V1",0.06,0.12,0.17
"16",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x3","size","saddle_V2",0.03,0.1,0.15
"17",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x4","power","saddle_V1",0.02,0.09,0.16
"18",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x4","power","saddle_V2",0.02,0.08,0.14
"19",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x4","size","saddle_V1",0.02,0.09,0.16
"20",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC0","x4","size","saddle_V2",0.02,0.08,0.14
"21",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x0","power","saddle_V1",0.02,0.09,0.17
"22",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x0","power","saddle_V2",0.02,0.07,0.15
"23",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x0","size","saddle_V1",0.02,0.08,0.15
"24",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x0","size","saddle_V2",0.01,0.06,0.11
"25",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x1","power","saddle_V1",0.02,0.15,0.2
"26",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x1","power","saddle_V2",0.02,0.11,0.2
"27",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x1","size","saddle_V1",0,0.06,0.15
"28",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x1","size","saddle_V2",0,0.02,0.11
"29",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x2","power","saddle_V1",0.41,0.73,0.79
"30",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x2","power","saddle_V2",0.34,0.65,0.76
"31",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x2","size","saddle_V1",0.02,0.08,0.12
"32",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x2","size","saddle_V2",0.01,0.05,0.1
"33",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x3","power","saddle_V1",0.58,0.88,0.93
"34",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x3","power","saddle_V2",0.49,0.78,0.92
"35",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x3","size","saddle_V1",0.02,0.09,0.13
"36",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x3","size","saddle_V2",0.02,0.09,0.13
"37",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x4","power","saddle_V1",0.02,0.06,0.15
"38",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x4","power","saddle_V2",0.01,0.05,0.1
"39",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x4","size","saddle_V1",0.02,0.06,0.15
"40",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC1","x4","size","saddle_V2",0.01,0.05,0.1
"41",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x0","power","saddle_V1",0.03,0.1,0.18
"42",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x0","power","saddle_V2",0.02,0.07,0.14
"43",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x0","size","saddle_V1",0.01,0.04,0.13
"44",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x0","size","saddle_V2",0.01,0.03,0.09
"45",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x1","power","saddle_V1",0.02,0.11,0.19
"46",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x1","power","saddle_V2",0.02,0.08,0.14
"47",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x1","size","saddle_V1",0,0.05,0.11
"48",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x1","size","saddle_V2",0,0.03,0.07
"49",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x2","power","saddle_V1",0.39,0.68,0.76
"50",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x2","power","saddle_V2",0.31,0.6,0.74
"51",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x2","size","saddle_V1",0.02,0.07,0.11
"52",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x2","size","saddle_V2",0.01,0.04,0.1
"53",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x3","power","saddle_V1",0.47,0.76,0.9
"54",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x3","power","saddle_V2",0.39,0.67,0.85
"55",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x3","size","saddle_V1",0.02,0.06,0.11
"56",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x3","size","saddle_V2",0.01,0.06,0.11
"57",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x4","power","saddle_V1",0.01,0.06,0.15
"58",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x4","power","saddle_V2",0.01,0.04,0.09
"59",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x4","size","saddle_V1",0.01,0.06,0.15
"60",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC2","x4","size","saddle_V2",0.01,0.04,0.09
"61",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x0","power","saddle_V1",0.01,0.04,0.12
"62",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x0","power","saddle_V2",0.02,0.02,0.09
"63",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x0","size","saddle_V1",0.01,0.01,0.05
"64",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x0","size","saddle_V2",0.01,0.02,0.05
"65",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x1","power","saddle_V1",0,0.06,0.1
"66",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x1","power","saddle_V2",0,0.03,0.1
"67",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x1","size","saddle_V1",0,0.01,0.04
"68",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x1","size","saddle_V2",0,0,0.04
"69",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x2","power","saddle_V1",0.23,0.54,0.68
"70",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x2","power","saddle_V2",0.18,0.47,0.62
"71",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x2","size","saddle_V1",0.01,0.03,0.07
"72",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x2","size","saddle_V2",0.01,0.03,0.05
"73",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x3","power","saddle_V1",0.24,0.49,0.67
"74",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x3","power","saddle_V2",0.21,0.44,0.57
"75",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x3","size","saddle_V1",0,0.03,0.05
"76",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x3","size","saddle_V2",0,0.01,0.04
"77",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x4","power","saddle_V1",0.01,0.02,0.05
"78",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x4","power","saddle_V2",0.01,0.02,0.02
"79",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x4","size","saddle_V1",0.01,0.02,0.05
"80",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC3","x4","size","saddle_V2",0.01,0.02,0.02
"81",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x0","power","saddle_V1",0.02,0.05,0.11
"82",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x0","power","saddle_V2",0.03,0.05,0.11
"83",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x0","size","saddle_V1",0.01,0.01,0.06
"84",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x0","size","saddle_V2",0.01,0.02,0.04
"85",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x1","power","saddle_V1",0,0.04,0.08
"86",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x1","power","saddle_V2",0,0.03,0.08
"87",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x1","size","saddle_V1",0,0.01,0.05
"88",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x1","size","saddle_V2",0,0.01,0.02
"89",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x2","power","saddle_V1",0.27,0.58,0.66
"90",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x2","power","saddle_V2",0.17,0.49,0.58
"91",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x2","size","saddle_V1",0,0.02,0.1
"92",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x2","size","saddle_V2",0,0.01,0.04
"93",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x3","power","saddle_V1",0.23,0.4,0.48
"94",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x3","power","saddle_V2",0.18,0.33,0.45
"95",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x3","size","saddle_V1",0,0.01,0.03
"96",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x3","size","saddle_V2",0,0.01,0.02
"97",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x4","power","saddle_V1",0.01,0.02,0.08
"98",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x4","power","saddle_V2",0.01,0.02,0.04
"99",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x4","size","saddle_V1",0.01,0.02,0.08
"100",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4","x4","size","saddle_V2",0.01,0.02,0.04
"101",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x0","power","saddle_V1",0.01,0.03,0.12
"102",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x0","power","saddle_V2",0.01,0.02,0.08
"103",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x0","size","saddle_V1",0.01,0.01,0.04
"104",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x0","size","saddle_V2",0,0.01,0.03
"105",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x1","power","saddle_V1",0,0.02,0.08
"106",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x1","power","saddle_V2",0,0.02,0.07
"107",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x1","size","saddle_V1",0,0.01,0.03
"108",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x1","size","saddle_V2",0,0,0.03
"109",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x2","power","saddle_V1",0.21,0.49,0.63
"110",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x2","power","saddle_V2",0.15,0.41,0.57
"111",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x2","size","saddle_V1",0.01,0.03,0.03
"112",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x2","size","saddle_V2",0.01,0.02,0.03
"113",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x3","power","saddle_V1",0.15,0.41,0.55
"114",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x3","power","saddle_V2",0.13,0.35,0.48
"115",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x3","size","saddle_V1",0,0.02,0.04
"116",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x3","size","saddle_V2",0,0.01,0.02
"117",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x4","power","saddle_V1",0.01,0.02,0.02
"118",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x4","power","saddle_V2",0,0.02,0.02
"119",25,"1 1 1 1 0 0","T T T T T F","E0","En","saddle",100,922318465,"HC4m","x4","size","saddle_V1",0.01,0.02,0.02
