"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x0","power","Satt",0.065,0.169,0.2545,0
"2",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x0","size","Satt",0.0325,0.1005,0.175,0
"3",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x1","power","Satt",0.0845,0.201,0.283,0
"4",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x1","size","Satt",0.0355,0.111,0.181,0
"5",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x3","power","Satt",0.736,0.863,0.904,0
"6",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x3","size","Satt",0.0385,0.124,0.1935,0
"7",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x4","power","Satt",0.0315,0.101,0.175,0
"8",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","x4","size","Satt",0.0315,0.101,0.175,0
"9",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","xD","power","Satt",0.228,0.4485,0.569,0
"10",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC0","xD","size","Satt",0.033,0.1105,0.1725,0
"11",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x0","power","Satt",0.0445,0.1305,0.2035,0
"12",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x0","size","Satt",0.019,0.071,0.127,0
"13",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x1","power","Satt",0.056,0.1545,0.236,0
"14",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x1","size","Satt",0.022,0.0735,0.139,0
"15",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x3","power","Satt",0.6675,0.825,0.8825,0
"16",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x3","size","Satt",0.025,0.0895,0.1535,0
"17",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x4","power","Satt",0.0205,0.068,0.1275,0
"18",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","x4","size","Satt",0.0205,0.068,0.1275,0
"19",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","xD","power","Satt",0.1735,0.373,0.4995,0
"20",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC1","xD","size","Satt",0.0245,0.076,0.132,0
"21",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x0","power","Satt",0.034,0.1115,0.1835,0
"22",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x0","size","Satt",0.013,0.0635,0.1125,0
"23",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x1","power","Satt",0.039,0.1295,0.2105,0
"24",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x1","size","Satt",0.0115,0.0595,0.1195,0
"25",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x3","power","Satt",0.506,0.739,0.8275,0
"26",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x3","size","Satt",0.0115,0.053,0.1095,0
"27",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x4","power","Satt",0.0185,0.062,0.1165,0
"28",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","x4","size","Satt",0.0185,0.062,0.1165,0
"29",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","xD","power","Satt",0.1525,0.343,0.4735,0
"30",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC2","xD","size","Satt",0.021,0.0675,0.1205,0
"31",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x0","power","Satt",0.0125,0.0555,0.111,0
"32",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x0","size","Satt",0.004,0.027,0.059,0
"33",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x1","power","Satt",0.009,0.0515,0.116,0
"34",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x1","size","Satt",0.0025,0.023,0.0505,0
"35",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x3","power","Satt",0.184,0.4025,0.548,0
"36",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x3","size","Satt",0.0025,0.0175,0.037,0
"37",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x4","power","Satt",0.0055,0.031,0.064,0
"38",25,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,987778144,"HC3","x4","size","Satt",0.0055,0.031,0.064,0
