"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x0","power","saddle_V1",0.011,0.0535,0.107,0
"2",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x0","power","saddle_V2",0.0095,0.0415,0.086,0
"3",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x0","size","saddle_V1",0.0045,0.031,0.0595,0
"4",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x0","size","saddle_V2",0.0025,0.022,0.047,0
"5",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x1","power","saddle_V1",0.0105,0.0505,0.108,0
"6",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x1","power","saddle_V2",0.0075,0.0405,0.0895,0
"7",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x1","size","saddle_V1",0.0025,0.0215,0.051,0
"8",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x1","size","saddle_V2",0.0015,0.0155,0.04,0
"9",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x3","power","saddle_V1",0.189,0.3995,0.5105,0
"10",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x3","power","saddle_V2",0.156,0.34,0.455,0
"11",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x3","size","saddle_V1",0.0025,0.0165,0.035,0
"12",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x3","size","saddle_V2",0.0025,0.0165,0.0325,0
"13",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x4","power","saddle_V1",0.0045,0.0285,0.0645,0
"14",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x4","power","saddle_V2",0.004,0.023,0.0505,0
"15",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x4","size","saddle_V1",0.0045,0.0285,0.0645,0
"16",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","x4","size","saddle_V2",0.004,0.023,0.0505,0
"17",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","xD","power","saddle_V1",0.07,0.2105,0.3275,0
"18",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","xD","power","saddle_V2",0.055,0.1665,0.2715,0
"19",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","xD","size","saddle_V1",0.005,0.0335,0.0665,0
"20",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4","xD","size","saddle_V2",0.0025,0.026,0.0555,0
"21",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x0","power","saddle_V1",0.008,0.04,0.084,0
"22",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x0","power","saddle_V2",0.0045,0.028,0.0655,0
"23",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x0","size","saddle_V1",0.002,0.0165,0.048,0
"24",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x0","size","saddle_V2",0.001,0.012,0.038,0
"25",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x1","power","saddle_V1",0.007,0.04,0.0925,0
"26",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x1","power","saddle_V2",0.0045,0.032,0.0715,0
"27",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x1","size","saddle_V1",0.002,0.016,0.037,0
"28",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x1","size","saddle_V2",5e-04,0.01,0.031,0
"29",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x3","power","saddle_V1",0.1815,0.4155,0.551,0
"30",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x3","power","saddle_V2",0.1545,0.3505,0.491,0
"31",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x3","size","saddle_V1",0.0015,0.014,0.033,0
"32",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x3","size","saddle_V2",0.0015,0.0115,0.0305,0
"33",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x4","power","saddle_V1",0.0045,0.023,0.049,0
"34",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x4","power","saddle_V2",0.0025,0.0175,0.04,0
"35",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x4","size","saddle_V1",0.0045,0.023,0.049,0
"36",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","x4","size","saddle_V2",0.0025,0.0175,0.04,0
"37",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","xD","power","saddle_V1",0.0495,0.1675,0.2845,0
"38",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","xD","power","saddle_V2",0.034,0.132,0.235,0
"39",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","xD","size","saddle_V1",0.001,0.023,0.052,0
"40",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC4m","xD","size","saddle_V2",0.0015,0.021,0.0435,0
"41",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x0","power","saddle_V1",0.0245,0.0945,0.164,0
"42",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x0","power","saddle_V2",0.0175,0.0725,0.1415,0
"43",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x0","size","saddle_V1",0.01,0.055,0.102,0
"44",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x0","size","saddle_V2",0.0055,0.043,0.088,0
"45",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x1","power","saddle_V1",0.029,0.1085,0.187,0
"46",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x1","power","saddle_V2",0.0215,0.089,0.164,0
"47",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x1","size","saddle_V1",0.0075,0.048,0.1035,0
"48",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x1","size","saddle_V2",0.004,0.0385,0.0835,0
"49",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x3","power","saddle_V1",0.401,0.6405,0.742,0
"50",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x3","power","saddle_V2",0.3455,0.5805,0.697,0
"51",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x3","size","saddle_V1",0.0095,0.04,0.081,0
"52",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x3","size","saddle_V2",0.0105,0.037,0.075,0
"53",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x4","power","saddle_V1",0.013,0.052,0.105,0
"54",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x4","power","saddle_V2",0.008,0.043,0.084,0
"55",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x4","size","saddle_V1",0.013,0.052,0.105,0
"56",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","x4","size","saddle_V2",0.008,0.043,0.084,0
"57",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","xD","power","saddle_V1",0.122,0.3095,0.447,0
"58",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","xD","power","saddle_V2",0.096,0.25,0.394,0
"59",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","xD","size","saddle_V1",0.0125,0.0555,0.1095,0
"60",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","xD","size","saddle_V2",0.011,0.0455,0.0935,0
"61",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","power","saddle_V1",0.0245,0.0965,0.172,0
"62",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","power","saddle_V2",0.017,0.0745,0.1435,0
"63",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","size","saddle_V1",0.0055,0.0275,0.066,0
"64",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","size","saddle_V2",0.0045,0.0205,0.0535,0
"65",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","power","saddle_V1",0.035,0.1315,0.2315,0
"66",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","power","saddle_V2",0.022,0.1065,0.1945,0
"67",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","size","saddle_V1",0.002,0.027,0.0585,0
"68",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","size","saddle_V2",0.0025,0.0195,0.05,0
"69",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x3","power","saddle_V1",0.5425,0.7435,0.821,0
