"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x0","power","naive",0.0171,0.0638,0.1098,0
"2",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x0","power","edgeKC",0.0132,0.0511,0.0941,0
"3",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x0","size","naive",0.0171,0.0638,0.1098,0
"4",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x0","size","edgeKC",0.0132,0.0511,0.0941,0
"5",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x1","power","naive",0.9987,1,1,0
"6",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x1","power","edgeKC",0.9981,1,1,0
"7",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x1","size","naive",0.015,0.0583,0.1085,0
"8",25,1,"unif","naive edgeKC",10000,448230207,"HC2","x1","size","edgeKC",0.0116,0.0475,0.0953,0
"9",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x0","power","naive",0.0132,0.0541,0.0933,0
"10",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x0","power","edgeKC",0.01,0.0433,0.0813,0
"11",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x0","size","naive",0.0132,0.0541,0.0933,0
"12",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x0","size","edgeKC",0.01,0.0433,0.0813,0
"13",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x1","power","naive",0.9976,0.9999,1,0
"14",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x1","power","edgeKC",0.9965,0.9999,1,0
"15",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x1","size","naive",0.0104,0.046,0.0889,0
"16",25,1,"unif","naive edgeKC",10000,448230207,"HC3","x1","size","edgeKC",0.0082,0.0383,0.0791,0
"17",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x0","power","naive",0.0142,0.0577,0.105,0
"18",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x0","power","edgeKC",0.0111,0.0505,0.0944,0
"19",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x0","size","naive",0.0142,0.0577,0.105,0
"20",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x0","size","edgeKC",0.0111,0.0505,0.0944,0
"21",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x1","power","naive",1,1,1,0
"22",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x1","power","edgeKC",1,1,1,0
"23",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x1","size","naive",0.0129,0.0563,0.1038,0
"24",40,1,"unif","naive edgeKC",10000,147985649,"HC2","x1","size","edgeKC",0.011,0.0496,0.0975,0
"25",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x0","power","naive",0.0118,0.0511,0.0942,0
"26",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x0","power","edgeKC",0.0088,0.0427,0.0852,0
"27",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x0","size","naive",0.0118,0.0511,0.0942,0
"28",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x0","size","edgeKC",0.0088,0.0427,0.0852,0
"29",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x1","power","naive",1,1,1,0
"30",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x1","power","edgeKC",1,1,1,0
"31",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x1","size","naive",0.0111,0.0481,0.0925,0
"32",40,1,"unif","naive edgeKC",10000,147985649,"HC3","x1","size","edgeKC",0.0097,0.0424,0.085,0
"33",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x0","power","naive",0.0136,0.0611,0.1098,0
"34",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x0","power","edgeKC",0.009,0.0488,0.0954,0
"35",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x0","size","naive",0.0136,0.0611,0.1098,0
"36",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x0","size","edgeKC",0.009,0.0488,0.0954,0
"37",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x1","power","naive",0.1688,0.3678,0.4879,0
"38",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x1","power","edgeKC",0.1492,0.3375,0.4636,0
"39",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x1","size","naive",0.015,0.0595,0.1126,0
"40",25,2,"unif","naive edgeKC",10000,246158239,"HC2","x1","size","edgeKC",0.012,0.0497,0.1004,0
"41",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x0","power","naive",0.0091,0.051,0.0941,0
"42",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x0","power","edgeKC",0.0065,0.0392,0.0782,0
"43",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x0","size","naive",0.0091,0.051,0.0941,0
"44",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x0","size","edgeKC",0.0065,0.0392,0.0782,0
"45",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x1","power","naive",0.1405,0.3272,0.4476,0
"46",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x1","power","edgeKC",0.1212,0.2962,0.4238,0
"47",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x1","size","naive",0.011,0.0475,0.0933,0
"48",25,2,"unif","naive edgeKC",10000,246158239,"HC3","x1","size","edgeKC",0.0084,0.039,0.082,0
"49",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x0","power","naive",0.0128,0.0575,0.1103,0
"50",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x0","power","edgeKC",0.0103,0.0482,0.0997,0
"51",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x0","size","naive",0.0128,0.0575,0.1103,0
"52",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x0","size","edgeKC",0.0103,0.0482,0.0997,0
"53",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x1","power","naive",0.3004,0.5414,0.6553,0
"54",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x1","power","edgeKC",0.2738,0.5225,0.6416,0
"55",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x1","size","naive",0.0136,0.0571,0.1109,0
"56",40,2,"unif","naive edgeKC",10000,949522170,"HC2","x1","size","edgeKC",0.0103,0.0504,0.1041,0
"57",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x0","power","naive",0.0109,0.0491,0.0988,0
"58",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x0","power","edgeKC",0.0078,0.0426,0.089,0
"59",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x0","size","naive",0.0109,0.0491,0.0988,0
"60",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x0","size","edgeKC",0.0078,0.0426,0.089,0
"61",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x1","power","naive",0.2686,0.5156,0.6343,0
"62",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x1","power","edgeKC",0.2476,0.4937,0.6212,0
"63",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x1","size","naive",0.0101,0.0488,0.0988,0
"64",40,2,"unif","naive edgeKC",10000,949522170,"HC3","x1","size","edgeKC",0.0075,0.0446,0.0917,0
"65",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x0","power","naive",0.0089,0.0477,0.0971,0
"66",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x0","power","edgeKC",0.0063,0.034,0.0798,0
"67",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x0","size","naive",0.0089,0.0477,0.0971,0
"68",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x0","size","edgeKC",0.0063,0.034,0.0798,0
"69",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x1","power","naive",0.2902,0.5119,0.6371,0
"70",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x1","power","edgeKC",0.2656,0.4817,0.6143,0
"71",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x1","size","naive",0.0201,0.0687,0.1214,0
"72",25,3,"unif","naive edgeKC",10000,823594474,"HC2","x1","size","edgeKC",0.016,0.0593,0.1079,0
"73",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x0","power","naive",0.0061,0.0356,0.0788,0
"74",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x0","power","edgeKC",0.0044,0.0258,0.064,0
"75",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x0","size","naive",0.0061,0.0356,0.0788,0
"76",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x0","size","edgeKC",0.0044,0.0258,0.064,0
"77",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x1","power","naive",0.2494,0.469,0.6006,0
"78",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x1","power","edgeKC",0.2232,0.4372,0.5765,0
"79",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x1","size","naive",0.0144,0.0569,0.1016,0
"80",25,3,"unif","naive edgeKC",10000,823594474,"HC3","x1","size","edgeKC",0.0111,0.0475,0.0909,0
"81",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x0","power","naive",0.0088,0.0472,0.0962,0
"82",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x0","power","edgeKC",0.0063,0.0405,0.0874,0
"83",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x0","size","naive",0.0088,0.0472,0.0962,0
"84",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x0","size","edgeKC",0.0063,0.0405,0.0874,0
"85",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x1","power","naive",0.4734,0.7058,0.8019,0
"86",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x1","power","edgeKC",0.4453,0.6851,0.7898,0
"87",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x1","size","naive",0.0144,0.0614,0.1121,0
"88",40,3,"unif","naive edgeKC",10000,67860435,"HC2","x1","size","edgeKC",0.0123,0.0546,0.1063,0
"89",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x0","power","naive",0.0068,0.041,0.0871,0
"90",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x0","power","edgeKC",0.0046,0.0349,0.0764,0
"91",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x0","size","naive",0.0068,0.041,0.0871,0
"92",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x0","size","edgeKC",0.0046,0.0349,0.0764,0
"93",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x1","power","naive",0.4397,0.6788,0.783,0
"94",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x1","power","edgeKC",0.4121,0.6572,0.7736,0
"95",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x1","size","naive",0.0118,0.0532,0.1022,0
"96",40,3,"unif","naive edgeKC",10000,67860435,"HC3","x1","size","edgeKC",0.0099,0.0465,0.0937,0
"97",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x0","power","naive",0.0111,0.0527,0.1042,0
"98",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x0","power","edgeKC",0.0113,0.0514,0.1023,0
"99",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x0","size","naive",0.0111,0.0527,0.1042,0
"100",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x0","size","edgeKC",0.0113,0.0514,0.1023,0
"101",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x1","power","naive",1,1,1,0
"102",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x1","power","edgeKC",1,1,1,0
"103",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x1","size","naive",0.016,0.0665,0.1211,0
"104",25,1,"norm","naive edgeKC",10000,719550879,"HC2","x1","size","edgeKC",0.0117,0.0469,0.097,0
"105",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x0","power","naive",0.0081,0.0446,0.0915,0
"106",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x0","power","edgeKC",0.0085,0.0428,0.0889,0
"107",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x0","size","naive",0.0081,0.0446,0.0915,0
"108",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x0","size","edgeKC",0.0085,0.0428,0.0889,0
"109",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x1","power","naive",1,1,1,0
"110",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x1","power","edgeKC",1,1,1,0
"111",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x1","size","naive",0.0122,0.0506,0.098,0
"112",25,1,"norm","naive edgeKC",10000,719550879,"HC3","x1","size","edgeKC",0.0083,0.0347,0.0762,0
"113",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x0","power","naive",0.0093,0.0489,0.0991,0
"114",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x0","power","edgeKC",0.009,0.0476,0.0987,0
"115",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x0","size","naive",0.0093,0.0489,0.0991,0
"116",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x0","size","edgeKC",0.009,0.0476,0.0987,0
"117",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x1","power","naive",1,1,1,0
"118",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x1","power","edgeKC",1,1,1,0
"119",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x1","size","naive",0.016,0.0639,0.1119,0
"120",40,1,"norm","naive edgeKC",10000,50322089,"HC2","x1","size","edgeKC",0.0115,0.0513,0.0979,0
"121",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x0","power","naive",0.0074,0.0421,0.0923,0
"122",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x0","power","edgeKC",0.0075,0.0418,0.092,0
"123",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x0","size","naive",0.0074,0.0421,0.0923,0
"124",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x0","size","edgeKC",0.0075,0.0418,0.092,0
"125",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x1","power","naive",1,1,1,0
"126",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x1","power","edgeKC",1,1,1,0
"127",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x1","size","naive",0.0129,0.0537,0.0994,0
"128",40,1,"norm","naive edgeKC",10000,50322089,"HC3","x1","size","edgeKC",0.009,0.0416,0.0851,0
"129",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x0","power","naive",0.0124,0.0563,0.1072,0
"130",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x0","power","edgeKC",0.013,0.0552,0.1051,0
"131",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x0","size","naive",0.0124,0.0563,0.1072,0
"132",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x0","size","edgeKC",0.013,0.0552,0.1051,0
"133",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x1","power","naive",0.934,0.975,0.9859,0
"134",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x1","power","edgeKC",0.9129,0.9647,0.9812,0
"135",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x1","size","naive",0.0212,0.0723,0.1328,0
"136",25,2,"norm","naive edgeKC",10000,955140753,"HC2","x1","size","edgeKC",0.0149,0.0526,0.1052,0
"137",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x0","power","naive",0.0086,0.0452,0.0933,0
"138",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x0","power","edgeKC",0.0086,0.0444,0.0913,0
"139",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x0","size","naive",0.0086,0.0452,0.0933,0
"140",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x0","size","edgeKC",0.0086,0.0444,0.0913,0
"141",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x1","power","naive",0.9038,0.9623,0.9787,0
"142",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x1","power","edgeKC",0.8733,0.95,0.9715,0
"143",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x1","size","naive",0.0152,0.0531,0.1034,0
"144",25,2,"norm","naive edgeKC",10000,955140753,"HC3","x1","size","edgeKC",0.01,0.0371,0.0788,0
"145",40,2,"norm","naive edgeKC",10000,644901033,"HC2","x0","power","naive",0.0135,0.0531,0.1035,0
"146",40,2,"norm","naive edgeKC",10000,644901033,"HC2","x0","power","edgeKC",0.0133,0.0527,0.1026,0
"147",40,2,"norm","naive edgeKC",10000,644901033,"HC2","x0","size","naive",0.0135,0.0531,0.1035,0
"148",40,2,"norm","naive edgeKC",10000,644901033,"HC2","x0","size","edgeKC",0.0133,0.0527,0.1026,0
"149",40,2,"norm","naive edgeKC",10000,644901033,"HC2","x1","power","naive",0.9831,0.9929,0.9976,0
