"","g","n","B","whichX","alpha_string","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"1",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","KCCI_E",0,0.034,0.046,0.125,0.192
"2",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","KCCI_H",0,0.016,0.028,0.094,0.156
"3",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","KCp_E",0,0.051,0.067,0.144,0.224
"4",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","KCp_H",0,0.046,0.056,0.107,0.164
"5",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","naive",0,0.053,0.067,0.147,0.228
"6",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","RCI_E",0,0.204,0.204,0.235,0.279
"7",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","RCI_H",0,0.012,0.025,0.069,0.119
"8",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","Rp_E",0,0.105,0.117,0.165,0.221
"9",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","Rp_H",0,0,0,0,0.002
"10",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","saddle_E",0,0.022,0.032,0.092,0.153
"11",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","saddle_H",0,0.026,0.04,0.106,0.167
"12",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","Satt_E",0,0.043,0.055,0.143,0.22
"13",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","power","Satt_H",0,0.014,0.026,0.095,0.16
"14",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","size","KCCI_E",0,0.034,0.046,0.125,0.192
"15",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","size","KCCI_H",0,0.016,0.028,0.094,0.156
"16",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","size","KCp_E",0,0.051,0.067,0.144,0.224
"17",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","size","KCp_H",0,0.046,0.056,0.107,0.164
"18",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC0","x4","size","naive",0,0.053,0.067,0.147,0.228
