"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"1",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","KCCI_E",0,0,0,0.1,0.1
"2",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","KCCI_H",0,0,0,0.1,0.1
"3",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","KCp_E",0,0,0,0.1,0.1
"4",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","KCp_H",0,0,0,0.1,0.1
"5",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","naive",0,0,0,0.1,0.1
"6",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","RCI_E",0,0,0,0.1,0.1
"7",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","RCI_H",0,0,0,0.1,0.1
"8",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","Rp_E",0,0,0,0.1,0.1
"9",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","Rp_H",0,0,0,0.1,0.1
"10",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","saddle_E",0,0,0,0.1,0.1
"11",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","saddle_H",0,0,0,0.1,0.1
"12",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","Satt_E",0,0,0,0.1,0.1
"13",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC0","x4","size","Satt_H",0,0,0,0.1,0.1
"14",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","KCCI_E",0,0,0,0.1,0.1
"15",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","KCCI_H",0,0,0,0.1,0.1
"16",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","KCp_E",0,0,0,0.1,0.1
"17",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","KCp_H",0,0,0,0.1,0.1
"18",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","naive",0,0,0,0.1,0.1
"19",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","RCI_E",0,0,0,0.1,0.1
"20",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","RCI_H",0,0,0,0.1,0.1
"21",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","Rp_E",0,0,0,0.1,0.1
"22",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","Rp_H",0,0,0,0.1,0.1
"23",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","saddle_E",0,0,0,0.1,0.1
"24",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","saddle_H",0,0,0,0.1,0.1
"25",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","Satt_E",0,0,0,0.1,0.1
"26",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC1","x4","size","Satt_H",0,0,0,0.1,0.1
"27",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","KCCI_E",0,0,0,0.1,0.1
"28",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","KCCI_H",0,0,0,0.1,0.1
"29",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","KCp_E",0,0,0,0.1,0.1
"30",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC2","x4","size","KCp_H",0,0,0,0.1,0.1
