"",".n","HC","coef","criterion","saddle_V1","saddle_V2"
"1",1,"HC0","x0","size",0.216185269313827,0.2432593214277
"2",1,"HC0","x1","size",0.118154352749381,0.132371282548463
"3",1,"HC0","x2","size",0.0213893235493589,0.0261289405308426
"4",1,"HC0","x3","size",0.34334484114462,0.369386694985718
"5",1,"HC0","x4","size",0.925472258850346,0.927575886744277
"6",1,"HC0","x0","power",0.405906107294213,0.427849849872323
"7",1,"HC0","x1","power",0.0480337160762703,0.0593699677296804
"8",1,"HC0","x2","power",0.821928635214739,0.824288220802197
"9",1,"HC0","x3","power",0.165149444986682,0.194114361884128
"10",1,"HC0","x4","power",0.925472258850346,0.927575886744277
"11",2,"HC0","x0","size",0.0270162100816597,0.0562982187083818
"12",2,"HC0","x1","size",0.0729261257651931,0.110036151422032
"13",2,"HC0","x2","size",0.377948424977853,0.424818754490664
"14",2,"HC0","x3","size",0.598277078758012,0.604344211251979
"15",2,"HC0","x4","size",0.154388320876976,0.188231797853834
"16",2,"HC0","x0","power",0.0613376538498904,0.104517245287013
"17",2,"HC0","x1","power",0.0278088968421022,0.0514235066415881
"18",2,"HC0","x2","power",0.453423051838973,0.495091276085298
"19",2,"HC0","x3","power",0.014766098687083,0.0226488995942809
"20",2,"HC0","x4","power",0.154388320876976,0.188231797853834
"21",3,"HC0","x0","size",0.945415371752661,0.948132707072697
"22",3,"HC0","x1","size",0.876876128398664,0.880001554342068
"23",3,"HC0","x2","size",0.95269969686069,0.95354474073038
"24",3,"HC0","x3","size",0.402912062109667,0.46962624474592
"25",3,"HC0","x4","size",0.314312310373863,0.362742953734242
"26",3,"HC0","x0","power",0.653914971574802,0.673374834703838
"27",3,"HC0","x1","power",0.480836397174399,0.496412470624108
"28",3,"HC0","x2","power",0.0235465775499673,0.0322353098426474
"29",3,"HC0","x3","power",0.0433860532413711,0.108585267083538
"30",3,"HC0","x4","power",0.314312310373863,0.362742953734242
"31",4,"HC0","x0","size",0.555081687173421,0.565498352450795
"32",4,"HC0","x1","size",0.0540174184966707,0.0633299026990532
"33",4,"HC0","x2","size",0.386738252025729,0.40128549459308
"34",4,"HC0","x3","size",0.289773709000446,0.293108972070266
"35",4,"HC0","x4","size",3.94030281395995e-05,5.75677510981194e-05
"36",4,"HC0","x0","power",0.908947005700012,0.910808919756302
"37",4,"HC0","x1","power",0.0202436135592981,0.0261174976598482
"38",4,"HC0","x2","power",0.192141710238347,0.208587475720917
"39",4,"HC0","x3","power",0.00150077909206977,0.00171097726918775
"40",4,"HC0","x4","power",3.94030281395995e-05,5.75677510981194e-05
"41",5,"HC0","x0","size",0.0269883585387022,0.0317544615797479
"42",5,"HC0","x1","size",0.0148083128857675,0.0181723139421094
"43",5,"HC0","x2","size",0.43886231903415,0.443066348577013
"44",5,"HC0","x3","size",0.867075946834298,0.87637164326731
"45",5,"HC0","x4","size",0.0502476627519511,0.0547619917627548
