"","HC","coef","criterion","test","value"
"1","HC0","x0","size","saddle_V1",0.216185269313827
"2","HC0","x1","size","saddle_V1",0.118154352749381
"3","HC0","x2","size","saddle_V1",0.0213893235493589
"4","HC0","x3","size","saddle_V1",0.34334484114462
"5","HC0","x4","size","saddle_V1",0.925472258850346
"6","HC0","x0","power","saddle_V1",0.405906107294213
"7","HC0","x1","power","saddle_V1",0.0480337160762703
"8","HC0","x2","power","saddle_V1",0.821928635214739
"9","HC0","x3","power","saddle_V1",0.165149444986682
"10","HC0","x4","power","saddle_V1",0.925472258850346
"11","HC0","x0","size","saddle_V1",0.0270162100816597
"12","HC0","x1","size","saddle_V1",0.0729261257651931
"13","HC0","x2","size","saddle_V1",0.377948424977853
"14","HC0","x3","size","saddle_V1",0.598277078758012
"15","HC0","x4","size","saddle_V1",0.154388320876976
"16","HC0","x0","power","saddle_V1",0.0613376538498904
"17","HC0","x1","power","saddle_V1",0.0278088968421022
"18","HC0","x2","power","saddle_V1",0.453423051838973
"19","HC0","x3","power","saddle_V1",0.014766098687083
"20","HC0","x4","power","saddle_V1",0.154388320876976
"21","HC0","x0","size","saddle_V1",0.945415371752661
"22","HC0","x1","size","saddle_V1",0.876876128398664
"23","HC0","x2","size","saddle_V1",0.95269969686069
"24","HC0","x3","size","saddle_V1",0.402912062109667
"25","HC0","x4","size","saddle_V1",0.314312310373863
"26","HC0","x0","power","saddle_V1",0.653914971574802
"27","HC0","x1","power","saddle_V1",0.480836397174399
"28","HC0","x2","power","saddle_V1",0.0235465775499673
"29","HC0","x3","power","saddle_V1",0.0433860532413711
"30","HC0","x4","power","saddle_V1",0.314312310373863
"31","HC0","x0","size","saddle_V1",0.555081687173421
"32","HC0","x1","size","saddle_V1",0.0540174184966707
"33","HC0","x2","size","saddle_V1",0.386738252025729
"34","HC0","x3","size","saddle_V1",0.289773709000446
"35","HC0","x4","size","saddle_V1",3.94030281395995e-05
"36","HC0","x0","power","saddle_V1",0.908947005700012
"37","HC0","x1","power","saddle_V1",0.0202436135592981
"38","HC0","x2","power","saddle_V1",0.192141710238347
"39","HC0","x3","power","saddle_V1",0.00150077909206977
"40","HC0","x4","power","saddle_V1",3.94030281395995e-05
"41","HC0","x0","size","saddle_V1",0.0269883585387022
"42","HC0","x1","size","saddle_V1",0.0148083128857675
"43","HC0","x2","size","saddle_V1",0.43886231903415
"44","HC0","x3","size","saddle_V1",0.867075946834298
"45","HC0","x4","size","saddle_V1",0.0502476627519511
"46","HC0","x0","power","saddle_V1",0.0133576134854194
"47","HC0","x1","power","saddle_V1",0.0342491968508849
"48","HC0","x2","power","saddle_V1",0.0299741104228745
"49","HC0","x3","power","saddle_V1",0.0328576665608056
"50","HC0","x4","power","saddle_V1",0.0502476627519511
"51","HC0","x0","size","saddle_V1",0.669252981223149
"52","HC0","x1","size","saddle_V1",0.506916815111962
"53","HC0","x2","size","saddle_V1",0.293450293662025
"54","HC0","x3","size","saddle_V1",0.575364191317265
"55","HC0","x4","size","saddle_V1",0.414491083592043
"56","HC0","x0","power","saddle_V1",0.483292665620632
"57","HC0","x1","power","saddle_V1",0.729686861955714
"58","HC0","x2","power","saddle_V1",0.0115311967901898
"59","HC0","x3","power","saddle_V1",0.621688935505604
"60","HC0","x4","power","saddle_V1",0.414491083592043
"61","HC0","x0","size","saddle_V1",0.450085380753044
"62","HC0","x1","size","saddle_V1",0.386910602896179
"63","HC0","x2","size","saddle_V1",0.764137105113359
"64","HC0","x3","size","saddle_V1",0.598126718278204
"65","HC0","x4","size","saddle_V1",0.174330825935394
"66","HC0","x0","power","saddle_V1",0.740672311617817
"67","HC0","x1","power","saddle_V1",0.173531799638684
"68","HC0","x2","power","saddle_V1",0.0384089117719368
"69","HC0","x3","power","saddle_V1",0.00932625139402271
"70","HC0","x4","power","saddle_V1",0.174330825935394
"71","HC0","x0","size","saddle_V1",0.569023954389594
"72","HC0","x1","size","saddle_V1",0.630089800919012
"73","HC0","x2","size","saddle_V1",0.953773950707665
"74","HC0","x3","size","saddle_V1",0.120443364310013
"75","HC0","x4","size","saddle_V1",0.3714298730775
"76","HC0","x0","power","saddle_V1",0.854268443353452
"77","HC0","x1","power","saddle_V1",0.390612215652157
"78","HC0","x2","power","saddle_V1",0.142932015026172
"79","HC0","x3","power","saddle_V1",0.990466625606949
"80","HC0","x4","power","saddle_V1",0.3714298730775
"81","HC0","x0","size","saddle_V1",0.749099678692549
