"","X","IDVAR","step","n","B","Estructs","whichX","Edist","iterations","seed",".id","Adjustment","Beta","M.Coef","Var.Coef","M.sd_e","Var.sd_e","M.df","Var.df","M.B","Var.B","M.t","Var.t","M.lb","Var.lb","M.ub","Var.ub","M.captured","Var.captured","M.rejectNull","Var.rejectNull"
"1",1,1,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC0","B0",0.978593318,3.178898016,1.459779418,0.163974172,20,0,1,0,2.085963447,0,-2.06645319,3.801625729,4.023639826,3.9831534,0.904,0.086870871,0.857,0.122673674
"2",2,2,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC0","B1",1.020394599,2.456923745,1.265079341,0.139688251,20,0,1,0,2.085963447,0,-1.618514665,3.170124876,3.659303862,2.959357805,0.901,0.089288288,0.807,0.155906907
"3",3,3,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC0","B2",0.997125992,0.145086467,0.316056701,0.008369656,20,0,1,0,2.085963447,0,0.337843266,0.169936677,1.656408717,0.193073077,0.897,0.092483483,0.209,0.165484484
"4",4,4,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC0","B3",0.994662815,0.147616764,0.271710838,0.013869955,20,0,1,0,2.085963447,0,0.427883939,0.212567073,1.561441691,0.203369561,0.854,0.124808809,0.149,0.126925926
"5",5,5,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC0","B4",0.000714213,0.026604447,0.132268299,0.001249602,20,0,0,0,2.085963447,0,-0.275192624,0.031327437,0.276621049,0.032756099,0.895,0.094069069,0.895,0.094069069
"6",6,6,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC1","B0",0.978593318,3.178898016,1.632083006,0.204967714,20,0,1,0,2.085963447,0,-2.425872175,3.969285398,4.383058811,4.172239504,0.943,0.053804805,0.899,0.09088989
"7",7,7,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC1","B1",1.020394599,2.456923745,1.414401702,0.174610314,20,0,1,0,2.085963447,0,-1.929995651,3.334518114,3.970784849,3.098873365,0.931,0.064303303,0.847,0.129720721
"8",8,8,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC1","B2",0.997125992,0.145086467,0.353362134,0.01046207,20,0,1,0,2.085963447,0,0.260025497,0.177675838,1.734226487,0.20354312,0.921,0.072831832,0.263,0.194025025
"9",9,9,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC1","B3",0.994662815,0.147616764,0.303781952,0.017337444,20,0,1,0,2.085963447,0,0.360984768,0.228197771,1.628340863,0.21791464,0.884,0.102646647,0.181,0.148387387
"10",10,10,1,25,"1 1 1 1 0 0","E0 E1 E2 E3 E4 E5 E6","T T T T T F","En",1000,977813020,"E0","HC1","B4",0.000714213,0.026604447,0.147880454,0.001562002,20,0,0,0,2.085963447,0,-0.307759008,0.032602452,0.309187433,0.034199745,0.929,0.066025025,0.929,0.066025025
