"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5","HC0_fp","HC1_fp","HC2_fp","HC3_fp","HC4_fp","HC4m_fp","HC5_fp"
"1",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B0","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B1","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B2","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B3","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B4","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B0","Power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B1","Power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B2","Power",0,1,1,1,1,1,1,0,1,1,1,0,0,0,0
"9",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B3","Power",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10",25,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,234969665,"B4","Power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,54202022,"B0","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,54202022,"B1","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",50,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5 HC0_fp HC1_fp HC2_fp HC3_fp HC4_fp HC4m_fp HC5_fp",1,54202022,"B2","Size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
