"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x0","power","naive",0.028,0.123,0.189,0
"2",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x0","power","saddle_V1",0.015,0.092,0.167,0
"3",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x0","power","saddle_V2",0.01,0.067,0.141,0
"4",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x0","size","naive",0.027,0.11,0.18,0
"5",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x0","size","saddle_V1",0.015,0.084,0.155,0
"6",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x0","size","saddle_V2",0.007,0.06,0.125,0
"7",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x1","power","naive",0.04,0.12,0.204,0
"8",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x1","power","saddle_V1",0.019,0.091,0.177,0.001
"9",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x1","power","saddle_V2",0.012,0.065,0.146,0.001
"10",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x1","size","naive",0.034,0.121,0.197,0
"11",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x1","size","saddle_V1",0.02,0.092,0.171,0
"12",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x1","size","saddle_V2",0.011,0.069,0.131,0
"13",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x2","power","naive",0.094,0.233,0.322,0
"14",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC0","x2","power","saddle_V1",0.06,0.195,0.291,0
