"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"1",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","KCCI_E",0,0.03605,0.0543,0.1432,0.22335
"2",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","KCCI_H",0,0.0187,0.03155,0.107,0.1829
"3",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","KCp_E",0,0.06485,0.0829,0.16875,0.2464
"4",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","KCp_H",0,0.05025,0.06425,0.12905,0.1937
"5",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","naive",0,0.05965,0.08135,0.1739,0.25325
"6",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","RCI_E",0,0.2053,0.21305,0.2547,0.29705
"7",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","RCI_H",0,0.014,0.02485,0.0823,0.1427
"8",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","Rp_E",0,0.11605,0.13245,0.199,0.2525
"9",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","Rp_H",0,0,0,0,0.0018
"10",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","saddle_E",0,0.0233,0.03755,0.11105,0.1821
"11",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","saddle_H",0,0.03025,0.04655,0.12605,0.1986
"12",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","Satt_E",0,0.04915,0.0697,0.16425,0.2452
"13",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC0","x3","size","Satt_H",0,0.0146,0.02835,0.1082,0.18805
"14",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","KCCI_E",0,0.0138,0.025,0.08575,0.1489
"15",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","KCCI_H",0,0.00925,0.01835,0.07465,0.13475
"16",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","KCp_E",0,0.03535,0.0459,0.10395,0.1651
"17",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","KCp_H",0,0.0309,0.0415,0.09095,0.14425
"18",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","naive",0,0.0381,0.0544,0.12645,0.19215
"19",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","RCI_E",0,0.0651,0.0766,0.1253,0.1737
"20",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","RCI_H",0,0.005,0.0098,0.04495,0.08655
"21",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","Rp_E",0,0.0496,0.06185,0.1113,0.15975
"22",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","Rp_H",0,0,0,0,2e-04
"23",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","saddle_E",0,0.01295,0.02265,0.0775,0.13525
"24",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","saddle_H",0,0.01725,0.02835,0.08845,0.14845
"25",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","Satt_E",0,0.0166,0.0283,0.09395,0.1613
"26",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC1","x3","size","Satt_H",0,0.00775,0.01595,0.075,0.1388
"27",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","KCCI_E",0,0.0031,0.0071,0.03685,0.0814
"28",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","KCCI_H",0,0.0017,0.0045,0.036,0.0818
"29",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","KCp_E",0,0.0162,0.02175,0.05605,0.0956
"30",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","KCp_H",0,0.0162,0.0217,0.0522,0.08885
"31",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","naive",0,0.0245,0.0363,0.0966,0.15165
"32",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","RCI_E",0,0.0357,0.0403,0.06945,0.10555
"33",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","RCI_H",0,0.00085,0.0018,0.0142,0.0319
"34",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","Rp_E",0,0.0212,0.02585,0.04825,0.0735
"35",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","Rp_H",0,0,0,0,5e-05
"36",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","saddle_E",0,0.0054,0.01005,0.04665,0.09055
"37",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","saddle_H",0,0.0043,0.00945,0.0443,0.08935
"38",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","Satt_E",0,0.00395,0.00765,0.0379,0.07985
"39",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC2","x3","size","Satt_H",0,0.00095,0.00255,0.0284,0.0709
"40",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","KCCI_E",0,2e-04,0.00045,0.0054,0.01585
"41",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","KCCI_H",0,0.00035,0.00085,0.0107,0.0285
"42",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","KCp_E",0,0.0025,0.0036,0.01165,0.0204
"43",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","KCp_H",0,0.00405,0.0061,0.01765,0.032
"44",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","naive",0,0.00735,0.01265,0.04075,0.0738
"45",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","RCI_E",0,0.00115,0.00195,0.0098,0.0199
"46",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","RCI_H",0,0,0.00025,0.0015,0.0054
"47",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","Rp_E",0,0.00055,0.00095,0.00345,0.00715
"48",0,20,"1 1 1 1 0","F F F T F",".005 .010 .050 .100",FALSE,1,20000,485221109,"HC3","x3","size","Rp_H",0,0,0,0,0
