"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x0","power","saddle_V1",0.045,0.1445,0.2285,0
"2",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x0","power","saddle_V2",0.033,0.113,0.201,0
"3",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x0","size","saddle_V1",0.0225,0.0835,0.153,0
"4",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x0","size","saddle_V2",0.0135,0.0645,0.124,0
"5",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x1","power","saddle_V1",0.059,0.1735,0.261,0
"6",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x1","power","saddle_V2",0.0435,0.1415,0.2275,0
"7",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x1","size","saddle_V1",0.0235,0.086,0.16,0
"8",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x1","size","saddle_V2",0.015,0.0675,0.1365,0
"9",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x3","power","saddle_V1",0.671,0.8345,0.8915,0
"10",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x3","power","saddle_V2",0.603,0.7995,0.872,0
"11",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x3","size","saddle_V1",0.024,0.0985,0.167,0
"12",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x3","size","saddle_V2",0.021,0.08,0.146,0
"13",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x4","power","saddle_V1",0.021,0.0775,0.1535,0
"14",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x4","power","saddle_V2",0.013,0.061,0.128,0
"15",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x4","size","saddle_V1",0.021,0.0775,0.1535,0
"16",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","x4","size","saddle_V2",0.013,0.061,0.128,0
"17",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","xD","power","saddle_V1",0.171,0.389,0.529,0
"18",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","xD","power","saddle_V2",0.132,0.337,0.48,0
"19",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","xD","size","saddle_V1",0.0225,0.0815,0.1465,0
"20",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC0","xD","size","saddle_V2",0.0165,0.067,0.128,0
"21",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x0","power","saddle_V1",0.0275,0.1,0.178,0
"22",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x0","power","saddle_V2",0.0195,0.0775,0.1525,0
"23",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x0","size","saddle_V1",0.0115,0.061,0.1065,0
"24",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x0","size","saddle_V2",0.008,0.0485,0.093,0
"25",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x1","power","saddle_V1",0.038,0.12,0.2085,0
"26",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x1","power","saddle_V2",0.024,0.0975,0.187,0
"27",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x1","size","saddle_V1",0.01,0.0575,0.119,0
"28",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x1","size","saddle_V2",0.0075,0.0465,0.0955,0
"29",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x3","power","saddle_V1",0.59,0.7885,0.8645,0
"30",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x3","power","saddle_V2",0.514,0.752,0.838,0
"31",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x3","size","saddle_V1",0.017,0.0655,0.1295,0
"32",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x3","size","saddle_V2",0.0135,0.0535,0.11,0
"33",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x4","power","saddle_V1",0.0115,0.0525,0.1065,0
"34",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x4","power","saddle_V2",0.007,0.0425,0.087,0
"35",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x4","size","saddle_V1",0.0115,0.0525,0.1065,0
"36",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","x4","size","saddle_V2",0.007,0.0425,0.087,0
"37",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","xD","power","saddle_V1",0.1255,0.3165,0.4565,0
"38",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","xD","power","saddle_V2",0.102,0.254,0.4065,0
"39",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","xD","size","saddle_V1",0.0135,0.0595,0.111,0
"40",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC1","xD","size","saddle_V2",0.0095,0.0465,0.092,0
"41",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x0","power","saddle_V1",0.0215,0.0885,0.1605,0
"42",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x0","power","saddle_V2",0.0165,0.072,0.1365,0
"43",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x0","size","saddle_V1",0.009,0.0515,0.0985,0
"44",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x0","size","saddle_V2",0.0055,0.0395,0.0825,0
"45",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x1","power","saddle_V1",0.029,0.104,0.1865,0
"46",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x1","power","saddle_V2",0.019,0.0835,0.1655,0
"47",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x1","size","saddle_V1",0.006,0.0455,0.1,0
"48",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x1","size","saddle_V2",0.0035,0.0365,0.079,0
"49",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x3","power","saddle_V1",0.483,0.7275,0.8215,0
"50",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x3","power","saddle_V2",0.417,0.6715,0.786,0
"51",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x3","size","saddle_V1",0.0125,0.0435,0.0935,0
"52",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x3","size","saddle_V2",0.0115,0.0385,0.084,0
"53",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x4","power","saddle_V1",0.009,0.043,0.094,0
"54",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x4","power","saddle_V2",0.0075,0.039,0.074,0
"55",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x4","size","saddle_V1",0.009,0.043,0.094,0
"56",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","x4","size","saddle_V2",0.0075,0.039,0.074,0
"57",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","xD","power","saddle_V1",0.112,0.29,0.4305,0
"58",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","xD","power","saddle_V2",0.0875,0.234,0.3755,0
"59",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","xD","size","saddle_V1",0.0115,0.051,0.1005,0
"60",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC2","xD","size","saddle_V2",0.007,0.041,0.0835,0
"61",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","power","saddle_V1",0.0095,0.0505,0.101,0
"62",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","power","saddle_V2",0.0065,0.035,0.0815,0
"63",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","size","saddle_V1",0.0025,0.0205,0.0595,0
"64",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","size","saddle_V2",5e-04,0.016,0.047,0
"65",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","power","saddle_V1",0.008,0.0545,0.113,0
"66",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","power","saddle_V2",0.0055,0.043,0.095,0
"67",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","size","saddle_V1",0.0015,0.02,0.0485,0
"68",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","size","saddle_V2",5e-04,0.0155,0.04,0
"69",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","power","saddle_V1",0.2645,0.51,0.658,0
"70",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","power","saddle_V2",0.218,0.4535,0.593,0
"71",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","size","saddle_V1",0.0015,0.017,0.042,0
"72",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","size","saddle_V2",0.002,0.018,0.038,0
"73",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","power","saddle_V1",0.005,0.0265,0.055,0
"74",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","power","saddle_V2",0.0045,0.0205,0.0465,0
"75",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","size","saddle_V1",0.005,0.0265,0.055,0
"76",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","size","saddle_V2",0.0045,0.0205,0.0465,0
