"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x0","power","naive",0.013,0.0555,0.104,0
"2",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x0","power","edgeKC",0.0055,0.03,0.068,0
"3",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x0","power","jack",0.0515,0.0885,0.1215,0.492
"4",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x0","size","naive",0.013,0.0555,0.104,0
"5",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x0","size","edgeKC",0.0055,0.03,0.068,0
"6",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x0","size","jack",0.0515,0.0885,0.1215,0.492
"7",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x1","power","naive",1,1,1,0
"8",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x1","power","edgeKC",0.999,1,1,0
"9",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x1","power","jack",0.5075,0.51,0.51,0.49
"10",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x1","size","naive",0.0075,0.054,0.098,0
"11",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x1","size","edgeKC",0.006,0.0295,0.078,0
"12",25,1,"unif","naive edgeKC jack",2000,989420947,"HC2","x1","size","jack",0.0435,0.079,0.11,0.49
"13",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x0","power","naive",0.014,0.059,0.1135,0
"14",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x0","power","edgeKC",0.0075,0.037,0.085,0
"15",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x0","power","jack",0.0955,0.142,0.172,0.487
"16",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x0","size","naive",0.014,0.059,0.1135,0
"17",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x0","size","edgeKC",0.0075,0.037,0.085,0
"18",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x0","size","jack",0.0955,0.142,0.172,0.487
"19",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x1","power","naive",1,1,1,0
"20",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x1","power","edgeKC",1,1,1,0
"21",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x1","power","jack",0.5105,0.5105,0.5105,0.4895
"22",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x1","size","naive",0.0105,0.053,0.1065,0
"23",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x1","size","edgeKC",0.007,0.0395,0.0905,0
"24",40,1,"unif","naive edgeKC jack",2000,79874622,"HC2","x1","size","jack",0.081,0.124,0.1515,0.4895
"25",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x0","power","naive",0.0205,0.057,0.114,0
"26",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x0","power","edgeKC",0.013,0.0375,0.0705,0
"27",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x0","power","jack",0.176,0.2445,0.2835,0.4755
"28",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x0","size","naive",0.0205,0.057,0.114,0
"29",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x0","size","edgeKC",0.013,0.0375,0.0705,0
"30",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x0","size","jack",0.176,0.2445,0.2835,0.4755
"31",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x1","power","naive",0.165,0.365,0.487,0
"32",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x1","power","edgeKC",0.129,0.302,0.4315,0
"33",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x1","power","jack",0.3935,0.44,0.462,0.4715
"34",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x1","size","naive",0.013,0.0635,0.1205,0
"35",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x1","size","edgeKC",0.0095,0.042,0.095,0
"36",25,2,"unif","naive edgeKC jack",2000,438637850,"HC2","x1","size","jack",0.176,0.235,0.2705,0.4715
"37",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x0","power","naive",0.0135,0.062,0.1185,0
"38",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x0","power","edgeKC",0.009,0.038,0.0975,0
"39",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x0","power","jack",0.21,0.259,0.288,0.503
"40",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x0","size","naive",0.0135,0.062,0.1185,0
"41",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x0","size","edgeKC",0.009,0.038,0.0975,0
"42",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x0","size","jack",0.21,0.259,0.288,0.503
"43",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","power","naive",0.2885,0.5335,0.6585,0
"44",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","power","edgeKC",0.2355,0.4815,0.6285,0
"45",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","power","jack",0.4485,0.47,0.475,0.503
"46",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","size","naive",0.019,0.067,0.119,0
"47",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","size","edgeKC",0.0125,0.0505,0.1015,0
"48",40,2,"unif","naive edgeKC jack",2000,843001004,"HC2","x1","size","jack",0.1915,0.2545,0.2845,0.503
"49",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","power","naive",0.006,0.0425,0.091,0
"50",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","power","edgeKC",0.003,0.022,0.051,0
"51",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","power","jack",0.0865,0.1545,0.194,0.493
"52",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","size","naive",0.006,0.0425,0.091,0
"53",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","size","edgeKC",0.003,0.022,0.051,0
"54",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x0","size","jack",0.0865,0.1545,0.194,0.493
"55",25,3,"unif","naive edgeKC jack",2000,525081551,"HC2","x1","power","naive",0.2895,0.5065,0.636,0
