method,S_M_5,E_2,E_5,S_M_2,N_4,E_1,S_E_1,S_E_5,N_3,S_E_2,S_M_1,N_4m,E_4,S_4,S_2,E_3,S_M_4,S_5,S_3,S_M_3,E_4m,S_E_4,S_E_0,S_M_4m,S_E_3,S_4m,N_2,S_E_4m,N_5,S_1,N_1,E_0,S_M_0,S_0,N_0,
S_M_5, -   , 64.29 , 30.00 , 68.57 , 81.90 , 43.81 , 84.29 , 94.29 , 86.67 , 87.14 , 50.95 , 93.81 , 94.29 , 94.29 , 56.67 , 94.29 , 94.29 , 58.57 , 94.29 , 94.29 , 94.29 , 94.29 , 77.62 , 94.29 , 94.29 , 94.29 , 83.81 , 94.29 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 82.15 
E_2, 35.71 , -   , 25.71 , 80.00 , 84.76 , 34.29 , 87.14 , 90.48 , 90.48 , 90.48 , 43.81 , 90.48 , 90.48 , 90.48 , 54.29 , 90.48 , 90.48 , 59.52 , 90.48 , 90.48 , 90.48 , 90.48 , 75.24 , 90.48 , 90.48 , 90.48 , 83.81 , 90.48 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 79.81 
E_5, 70.00 , 73.81 , -   , 79.52 , 81.43 , 47.62 , 78.57 , 81.90 , 81.43 , 81.43 , 59.05 , 81.90 , 81.90 , 81.90 , 60.48 , 81.90 , 81.90 , 62.86 , 81.90 , 81.90 , 81.90 , 81.90 , 80.48 , 81.90 , 81.90 , 81.90 , 83.81 , 81.90 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 79.10 
S_M_2, 30.95 , 18.10 , 20.00 , -   , 80.95 , 31.90 , 87.62 , 90.48 , 90.48 , 90.48 , 42.86 , 90.48 , 90.48 , 90.48 , 53.81 , 90.48 , 90.48 , 56.67 , 90.48 , 90.48 , 90.48 , 90.48 , 75.24 , 90.48 , 90.48 , 90.48 , 83.81 , 90.48 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 77.46 
N_4, 18.10 , 14.76 , 18.57 , 19.05 , -   , 29.05 , 60.48 , 97.14 , 89.52 , 90.48 , 41.90 , 97.62 , 97.62 , 97.62 , 53.81 , 97.62 , 97.62 , 58.10 , 97.62 , 97.62 , 97.62 , 97.62 , 75.24 , 97.62 , 97.62 , 97.62 , 83.81 , 97.62 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 77.16 
E_1, 55.24 , 65.71 , 52.38 , 67.62 , 70.95 , -   , 69.52 , 71.90 , 71.90 , 71.90 , 59.52 , 71.90 , 71.90 , 71.90 , 57.14 , 71.90 , 71.90 , 65.71 , 71.90 , 71.90 , 71.90 , 71.90 , 78.57 , 71.90 , 71.90 , 71.90 , 83.81 , 71.90 , 89.52 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 73.02 
S_E_1, 15.71 , 12.86 , 21.43 , 12.38 , 38.57 , 30.48 , -   , 77.14 , 84.29 , 88.10 , 40.95 , 88.57 , 88.57 , 88.57 , 49.52 , 88.57 , 88.57 , 61.90 , 88.57 , 88.57 , 88.57 , 88.57 , 75.24 , 88.57 , 88.57 , 88.57 , 83.81 , 88.57 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 72.15 
S_E_5, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 22.38 , -   , 61.90 , 70.00 , 40.95 , 93.33 , 100.00 , 99.52 , 53.81 , 100.00 , 100.00 , 57.14 , 100.00 , 100.00 , 100.00 , 100.00 , 75.24 , 100.00 , 100.00 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 71.80 
N_3, 12.38 , 9.52 , 18.57 , 9.52 , 9.52 , 28.10 , 15.71 , 37.14 , -   , 66.67 , 40.95 , 95.71 , 94.29 , 94.76 , 53.81 , 96.19 , 96.19 , 56.19 , 96.19 , 96.19 , 96.19 , 96.19 , 75.24 , 96.19 , 96.19 , 96.19 , 83.81 , 96.19 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 69.86 
S_E_2, 12.38 , 9.52 , 18.57 , 9.52 , 9.05 , 28.10 , 11.90 , 30.00 , 30.95 , -   , 40.95 , 92.38 , 90.48 , 91.90 , 53.81 , 97.14 , 96.67 , 57.62 , 97.14 , 97.14 , 97.14 , 97.14 , 75.24 , 97.14 , 97.14 , 97.14 , 83.81 , 97.14 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 68.53 
S_M_1, 48.57 , 56.19 , 40.00 , 57.14 , 58.10 , 40.00 , 59.05 , 59.05 , 59.05 , 59.05 , -   , 59.05 , 59.05 , 59.05 , 59.05 , 59.05 , 59.05 , 55.71 , 59.05 , 59.05 , 59.05 , 59.05 , 79.52 , 59.05 , 59.05 , 59.05 , 80.95 , 59.05 , 83.81 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 64.35 
N_4m, 6.19 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , 6.19 , 4.29 , 7.62 , 40.95 , -   , 56.19 , 79.05 , 53.81 , 100.00 , 96.19 , 57.14 , 100.00 , 100.00 , 100.00 , 100.00 , 75.24 , 100.00 , 100.00 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 63.63 
E_4, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 5.24 , 9.52 , 40.95 , 41.43 , -   , 91.90 , 53.81 , 91.43 , 100.00 , 57.14 , 100.00 , 100.00 , 100.00 , 100.00 , 75.24 , 100.00 , 100.00 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 63.33 
S_2, 43.33 , 45.71 , 39.52 , 46.19 , 46.19 , 41.90 , 50.48 , 46.19 , 46.19 , 46.19 , 40.95 , 46.19 , 46.19 , 46.19 , -   , 46.19 , 46.19 , 60.95 , 46.19 , 46.19 , 46.19 , 46.19 , 74.29 , 46.19 , 46.19 , 46.19 , 86.19 , 46.19 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 57.03 
S_4, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , 0.48 , 5.24 , 8.10 , 40.95 , 20.95 , 7.62 , -   , 53.81 , 59.52 , 77.14 , 57.14 , 87.62 , 80.00 , 80.95 , 99.05 , 75.24 , 100.00 , 90.48 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 56.98 
E_3, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , 8.10 , 40.00 , 53.81 , -   , 45.71 , 57.14 , 61.43 , 99.52 , 100.00 , 100.00 , 75.24 , 100.00 , 100.00 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 55.39 
S_M_4, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 3.33 , 40.95 , 3.81 , -   , 19.52 , 53.81 , 52.86 , -   , 57.14 , 81.90 , 76.19 , 80.00 , 100.00 , 75.24 , 100.00 , 90.00 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 53.96 
S_5, 41.43 , 39.52 , 37.14 , 43.33 , 41.90 , 34.29 , 38.10 , 42.86 , 43.33 , 42.38 , 43.81 , 42.86 , 42.86 , 42.86 , 38.57 , 42.86 , 42.86 , -   , 42.86 , 42.86 , 42.86 , 42.86 , 56.67 , 42.86 , 42.86 , 42.86 , 72.38 , 42.86 , 92.86 , 95.24 , 95.24 , 100.00 , 100.00 , 100.00 , 100.00 , 53.04 
S_3, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , 10.48 , 53.81 , 37.14 , 15.71 , 57.14 , -   , 70.48 , 80.48 , 98.10 , 75.24 , 100.00 , 88.57 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 50.99 
S_M_3, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , 19.05 , 53.81 , -   , 23.81 , 57.14 , 27.62 , -   , 79.52 , 100.00 , 75.24 , 100.00 , 99.52 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 49.52 
E_4m, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , 19.05 , 53.81 , -   , 19.52 , 57.14 , 19.52 , 18.57 , -   , 98.57 , 75.24 , 100.00 , 100.00 , 100.00 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 47.40 
S_E_4, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , 0.95 , 53.81 , -   , -   , 57.14 , 1.90 , -   , 0.95 , -   , 75.24 , 67.14 , 67.62 , 88.10 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 40.30 
S_E_0, 22.38 , 24.76 , 19.52 , 24.76 , 24.76 , 21.43 , 24.76 , 24.76 , 24.76 , 24.76 , 19.52 , 24.76 , 24.76 , 24.76 , 25.24 , 24.76 , 24.76 , 42.86 , 24.76 , 24.76 , 24.76 , 24.76 , -   , 24.76 , 24.76 , 24.76 , 60.95 , 24.76 , 73.81 , 93.81 , 95.71 , 99.05 , 100.00 , 100.00 , 100.00 , 39.13 
S_M_4m, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , -   , 53.81 , -   , -   , 57.14 , -   , -   , -   , 30.48 , 75.24 , -   , 65.24 , 77.62 , 83.81 , 99.52 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 38.76 
