"","method","E_0","E_1","E_2","E_3","E_4","E_4m","E_5","N_0","N_1","N_2","N_3","N_4","N_4m","N_5","S_0","S_1","S_2","S_3","S_4","S_4m","S_5","S_E_0","S_E_1","S_E_2","S_E_3","S_E_4","S_E_4m","S_E_5","S_M_0","S_M_1","S_M_2","S_M_3","S_M_4","S_M_4m","S_M_5"
"1","E_0",0,25.71,32.38,49.05,53.33,52.86,46.67,90,38.57,32.38,38.1,46.67,42.38,33.81,27.14,35.71,40,53.81,56.67,58.57,53.33,61.43,68.57,72.38,78.1,78.1,78.57,75.24,50,23.81,30.48,48.57,53.81,53.33,47.62
"2","E_1",73.81,0,40,57.14,61.9,61.9,51.9,85.71,74.76,58.1,45.71,53.81,52.86,53.81,53.81,41.43,45.71,63.33,67.14,67.14,60.48,69.52,77.14,80,83.33,82.86,82.86,82.38,74.76,50.48,41.43,57.14,62.38,63.33,51.43
"3","E_2",67.62,59.05,0,63.33,69.05,68.57,61.9,80.95,69.52,62.38,53.81,61.43,53.81,50,60,55.24,49.52,70.48,74.76,73.81,70.95,80.48,85.24,86.19,89.05,89.05,89.05,88.1,69.52,60,48.1,62.86,71.43,69.52,61.9
"4","E_3",50.48,42.86,36.19,0,61.43,81.43,44.29,64.29,52.38,45.24,30.48,32.38,26.67,35.71,43.81,37.62,33.33,68.57,80,81.43,60.95,75.71,87.62,91.9,95.71,95.71,96.19,94.76,50,43.81,36.67,47.14,66.67,79.05,47.62
"5","E_4",46.19,38.1,30.95,36.19,0,48.1,19.52,59.52,50.95,42.86,24.76,20.48,21.9,30.48,40.48,32.38,27.62,51.9,72.38,64.76,49.52,67.14,79.05,87.14,97.62,97.62,97.62,96.67,47.14,38.57,30.95,31.9,63.81,51.9,27.14
"6","E_4m",46.67,38.1,30.95,16.67,47.62,0,35.71,59.52,49.52,42.38,25.71,28.57,19.52,27.62,40,32.38,27.62,60,71.9,69.05,49.52,70.48,83.33,94.29,97.14,97.14,97.62,96.67,47.14,38.1,30.95,17.14,53.81,56.19,40
"7","E_5",53.33,47.14,31.43,54.76,79.52,61.9,0,70.95,55.71,50,37.14,43.81,44.76,36.19,48.1,42.86,40.95,64.76,83.33,74.29,71.43,74.29,83.81,90.95,96.67,96.67,96.67,95.71,53.81,44.76,38.1,54.29,79.05,66.19,55.24
"8","N_0",9.52,14.29,19.05,35.71,40,40.48,29.05,0,8.57,11.9,24.29,29.05,30,19.52,13.81,19.05,25.71,41.9,46.19,48.1,39.52,47.62,55.24,57.14,59.52,60.48,60.95,57.62,8.57,14.76,21.43,36.67,40.48,41.43,28.57
"9","N_1",39.52,24.76,30,46.19,48.57,50,44.29,90.95,0,19.52,37.62,43.33,41.43,31.43,24.76,30.95,40.48,52.86,53.81,56.19,49.52,58.57,65.71,67.62,73.81,73.33,73.81,70.95,44.29,22.86,30,47.62,50,50.48,44.76
"10","N_2",65.71,38.57,37.62,54.29,57.14,57.62,50,88.1,79.05,0,41.9,49.05,49.05,43.81,40.95,40,43.81,59.52,64.29,63.33,57.62,67.14,74.76,79.05,82.86,82.86,82.86,80.95,71.43,38.57,36.67,55.24,59.52,58.57,50
"11","N_3",61.43,52.38,46.19,69.52,72.86,74.29,58.57,75.71,62.38,58.1,0,57.62,62.86,49.05,55.24,48.57,52.38,74.76,80,80,67.62,80.95,86.19,87.62,89.52,90,90,89.05,61.43,52.86,43.81,69.52,73.33,76.19,58.57
"12","N_4",53.33,44.29,36.19,63.81,78.57,70.48,48.57,70.48,56.67,50.95,35.71,0,46.19,36.19,47.14,43.81,41.43,70.95,83.33,80.48,74.29,79.05,86.67,92.38,95.71,95.71,95.71,95.24,55.24,45.71,38.1,63.81,80.48,73.33,52.86
"13","N_4m",57.62,46.67,43.33,70.95,73.81,80,53.33,70,58.57,50.95,36.67,49.52,0,46.19,50.48,43.33,39.52,80,80.95,84.76,67.62,81.9,89.05,90,92.38,92.38,92.38,91.43,57.14,49.05,42.86,70.95,73.33,80.48,54.29
"14","N_5",64.76,42.38,45.24,62.38,69.52,71.43,63.81,80.48,65.71,50,48.57,63.33,52.86,0,50.95,50.95,51.9,71.43,77.14,76.67,69.52,77.14,86.19,88.57,90.95,92.38,91.9,90,66.67,44.29,46.19,62.86,70.95,71.43,64.29
"15","S_0",67.62,40.95,38.57,56.19,59.05,60,50,85.71,73.33,53.81,43.81,50.95,48.57,47.62,0,40.95,45.71,60.95,64.76,66.19,57.62,67.14,74.29,77.14,81.9,81.9,82.38,80.48,68.1,42.86,37.62,57.14,59.52,60.48,51.43
"16","S_1",63.33,53.81,42.38,61.9,66.19,67.14,54.76,80.95,68.57,59.05,49.05,52.38,55.71,47.14,59.05,0,52.38,70,74.29,73.81,67.14,77.14,81.9,84.76,88.1,87.62,87.62,86.67,64.29,52.38,40.48,60.95,66.19,69.05,52.86
"17","S_2",60,53.33,46.67,64.76,69.05,70.95,57.14,74.29,59.52,56.19,41.43,56.19,55.71,46.19,53.81,46.19,0,75.71,80.95,81.9,70.48,83.33,88.1,88.57,90.95,90.95,91.43,89.52,60.48,51.43,47.62,64.76,72.38,74.29,58.57
"18","S_3",45.71,36.19,29.05,28.1,45.24,38.57,34.76,58.1,47.14,40.48,24.76,24.29,19.52,28.57,39.05,29.05,23.81,0,63.81,86.67,44.29,79.52,91.43,92.86,96.67,96.67,97.14,96.19,47.14,37.14,29.05,27.62,48.57,40.95,35.71
"19","S_4",42.86,32.86,24.76,17.62,22.38,24.29,16.67,53.81,46.19,35.71,20,16.19,17.14,22.86,34.76,25.71,18.57,31.43,0,48.1,13.33,56.19,71.43,90,98.1,97.62,98.1,97.62,43.81,33.81,25.24,19.05,28.1,23.81,22.86
"20","S_4m",41.43,32.38,25.71,16.67,33.33,29.05,25.24,51.9,43.81,36.67,19.52,19.52,14.76,22.86,33.81,26.19,18.1,10.95,47.62,0,36.67,65.71,87.14,94.29,98.1,97.62,98.1,97.14,41.43,33.33,26.67,19.05,37.62,29.05,31.9
"21","S_5",46.67,39.52,28.57,35.24,47.14,47.62,26.67,60.48,50.48,42.38,30.95,23.33,28.57,30.48,42.38,30.95,22.86,53.81,84.76,60.95,0,65.71,76.67,92.86,97.62,97.14,97.62,96.67,46.19,39.52,30.48,37.14,57.14,50.48,34.29
"22","S_E_0",38.1,30.48,19.52,22.38,31.43,28.57,24.29,51.9,41.43,32.86,17.62,20,16.19,22.38,32.86,22.86,16.67,19.05,42.38,31.9,32.38,0,92.38,95.24,97.14,97.62,97.62,96.67,38.57,30,20.95,22.38,35.24,27.62,27.14
"23","S_E_1",31.43,22.38,14.29,11.43,20.95,14.76,16.19,44.76,34.29,24.76,13.81,13.33,10.48,13.81,25.24,18.1,11.9,8.1,27.62,12.38,20.95,7.14,0,89.52,98.1,98.1,98.57,93.81,32.38,22.38,15.24,12.86,24.76,16.19,20.48
"24","S_E_2",27.62,20,12.86,8.1,10.95,5.71,9.05,42.86,32.38,20.95,12.38,7.62,10,11.43,22.86,15.24,11.43,7.14,9.52,5.71,6.67,4.76,10,0,99.05,98.1,99.05,87.62,29.05,20.48,14.29,7.62,14.76,7.14,12.38
"25","S_E_3",21.9,16.67,10.95,4.29,1.9,2.86,3.33,40.48,26.19,17.14,10.48,4.29,7.14,9.05,18.1,11.9,9.05,3.33,1.9,1.9,2.38,2.86,1.9,0.95,0,71.9,91.9,42.86,22.86,17.14,11.43,4.29,3.33,2.86,2.86
"26","S_E_4",21.9,17.14,10.95,4.29,2.38,2.86,3.33,39.52,26.19,17.14,10,4.29,7.62,7.62,18.1,12.38,9.05,3.33,2.38,2.38,2.86,2.38,1.9,1.43,24.76,0,40.48,4.29,22.86,17.14,11.9,4.29,2.38,2.86,2.86
"27","S_E_4m",21.43,17.14,10.95,3.81,2.38,2.38,3.33,39.05,26.19,17.14,10,4.29,7.62,8.1,17.62,12.38,8.57,2.86,1.9,1.9,2.38,2.38,1.43,0.95,5.24,56.19,0,36.67,22.38,17.14,11.9,3.81,2.38,2.38,2.86
"28","S_E_5",24.76,17.62,11.9,5.24,3.33,3.33,4.29,42.38,29.05,19.05,10.95,4.76,8.57,10,19.52,13.33,10.48,3.81,2.38,2.86,3.33,3.33,5.24,8.57,54.29,94.76,61.43,0,25.71,17.62,11.9,4.76,2.38,3.33,3.81
"29","S_M_0",36.19,24.76,30.48,49.52,52.86,52.38,46.19,91.43,43.81,28.57,38.1,44.29,42.86,32.86,28.57,34.29,39.05,52.38,56.19,58.57,53.81,60.95,67.62,70.95,77.14,77.14,77.62,74.29,0,22.38,31.43,49.05,53.81,53.33,46.67
"30","S_M_1",74.76,37.62,38.1,56.19,61.43,61.9,52.86,85.24,76.19,59.05,47.14,52.38,50.95,51.43,52.86,45.24,46.67,62.38,66.19,66.67,60,70,77.14,79.52,82.86,82.86,82.86,82.38,77.14,0,40.95,57.14,62.38,63.33,51.9
"31","S_M_2",69.52,57.14,36.19,63.33,69.05,69.05,60,78.57,70,63.33,55.24,58.57,55.71,53.33,57.62,55.24,49.05,70.48,74.29,73.33,69.05,78.57,84.76,85.71,88.57,88.1,88.1,88.1,68.57,58.1,0,63.33,70,69.52,60
"32","S_M_3",51.43,42.86,36.67,40.48,61.9,79.05,44.76,63.33,51.9,44.76,30.48,34.29,27.14,35.24,42.86,38.1,34.29,70.48,79.05,77.62,61.9,75.24,86.67,92.38,95.71,95.71,96.19,95.24,50.95,42.86,36.67,0,63.81,79.52,47.14
"33","S_M_4",45.71,37.62,28.57,30.95,26.19,42.86,20.95,59.05,50,40.48,25.71,19.05,23.81,28.1,40,31.9,26.19,47.62,69.05,61.43,38.57,64.29,75.24,84.29,96.19,97.62,97.62,97.62,46.19,37.62,30,29.52,0,46.67,18.57
"34","S_M_4m",46.67,36.67,30,18.1,45.24,28.57,31.9,58.57,49.05,41.43,23.81,26.19,19.52,27.62,39.52,30.95,24.76,54.29,73.33,67.62,46.67,70.95,81.9,91.43,97.14,97.14,97.62,96.67,46.67,36.67,30.48,19.05,50.48,0,40
"35","S_M_5",52.38,46.67,32.38,51.43,71.43,58.57,33.33,71.43,55.24,50,37.62,40.48,42.86,35.24,48.57,44.29,39.52,63.81,76.19,68.1,62.86,71.9,79.05,87.14,96.67,97.14,97.14,96.19,53.33,45.24,35.71,51.43,80.95,60,0
