#,X1,X2,X3,X4,Y,X5
1,33,53,3.32,3.42,29,30
2,31,36,3.1,3.26,24,24
3,33,51,3.18,3.18,26,26
4,37,51,3.39,3.08,22,22
5,36,54,3.2,3.41,27,27
6,35,35,3.03,3.03,21,20
7,59,56,4.78,4.59,33,32
8,60,60,4.72,4.72,34,34
9,59,60,4.6,4.41,32,27
10,60,60,4.53,4.53,34,34
11,34,35,2.9,2.95,20,19
12,60,59,4.4,4.36,36,37
13,60,62,4.31,4.42,34,34
14,60,36,4.27,3.94,23,22
15,62,38,4.41,3.49,24,24
16,62,61,4.39,4.39,32,32
17,90,64,7.32,6.7,40,38
18,90,60,7.32,7.2,46,44
19,92,92,7.45,7.45,55,57
20,91,92,7.27,7.26,52,53
21,61,62,3.91,4.08,29,29
22,59,42,3.75,3.45,22,21
23,88,65,6.48,5.8,31,28
24,91,89,6.7,6.6,45,45
25,63,62,4.3,4.3,37,39
26,60,61,4.02,4.1,37,39
27,60,62,4.02,3.98,33,34
28,59,62,3.98,4.02,27,26
29,59,62,4.39,4.53,34,34
30,37,35,2.73,2.64,19,96.37
31,35,35,2.59,2.59,16,106.18
32,37,37,2.73,2.59,22,22
