MSALabel,MSANo,NumberOfRespondents,DisproportionateBlackDeath,WhiteImplicit,WhiteExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeBlack,PcentBAdegreeWhite,Segregation,BlackImplicit,BlackExplicit,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Abilene, TX MSA",10180,688, ,.375727071185312,.869629629629629,35516,47727,.0920661855199296,.137050004400408,.0428961308127723,.096884385315757,.078,.0707713791369013,-1,356.46,6.4,60.2344889704053, 
"Akron, OH MSA",10420,3768,-.118,.425608059413839,1.04033915724563,27619,53750,.176999966863569,.218087552315364,.059929122638846,.133574435879865,.327,-.0197731747602559,-1.66186107470511,303.72,9.7,781.22121131553,4
"Albany, GA MSA",10500,168,.47,.477553761745897,1.36994219653179,25753,51377,.146117142792572,.187450064353598,.0348012446223362,.0846108605745957,.328,-.136821213208197,-1.80084745762712,606.28,15,81.3988880838104,2
"Albany-Schenectady-Troy, NY MSA",10580,4737,-.078,.409606787458813,.892340343430446,30704,64628,.162990618899752,.172665229351339,.0593785018888925,.13477484533321,.25,.0168038914714834,-1.60638297872341,278.86,7.4,309.692023722506,1
"Albuquerque, NM MSA",10740,1961,-.028,.333252291684248,.585170340681362,42997,58285,.0926542003978218,.072721607209819,.117533936436123,.100586230702259,.011,-.00852373861050642,-1.68508287292818,692.02,9.1,95.5644656410979,3
"Alexandria, LA MSA",10780,230,.205,.465751301812637,1.32900432900433,26942,46641,.189184533912019,.191854745547541,.0367529684878951,.0852363788476158,.397,-.0403880472154377,-1.73484848484848,584.38,8.8,78.4920678072818,2
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,3414,-.053,.43426107803426,.985285631852278,43576,61134,.157325752652452,.225058359237453,.0746441052860471,.116164762948799,.057,.0313711661773077,-1.19330855018587,204.3,9.2,565.073295092815,1
"Altoona, PA MSA",11020,340, ,.41731388263169,.926208651399491,23235,43215,.109883395485616,.32045797937992,.0556808237214106,.0882566615503646,.021,.0449522851330796,-.933333333333333,239.58,6.7,241.706040966271, 
"Amarillo, TX MSA",11100,463, ,.374826141612094,.801295896328294,24969,54083,.130237951933284,.0969188995357852,.0345892989422408,.103291875850265,.156,-.08047668343546,-1.38095238095238,527.96,5,68.4747515294958, 
"Ames, IA MSA",11180,900, ,.379865645683006,.992230854605992,21116,52019, ,.0928820834848797, ,.158724259113899,.014,-.150578406196755,-1.83050847457627,201.58,5.7,156.31829368724, 
"Anchorage, AK MSA",11260,1499, ,.388030504171101,.706692913385826,55745,81600,.117233169653296,.13055819606825,.0850817337329677,.136273133363142,.036,-.0247847221469167,-1.49612403100775,810.14,7.7,14.4729625466394, 
"Ann Arbor, MI MSA",11460,4362, ,.383572435699492,.705920068390682,35332,64436,.115924541965081,.0867136229331921,.0703152685616328,.169157937921202,.215,-.0182602870553358,-2.18398876404494,306.6,8.4,488.396421675812, 
"Appleton, WI MSA",11540,1529, ,.370765840306851,.956977385548815,25897,60738, ,.218630913176394, ,.132366593699504,.01,.0343998410159886,-.5625,142.56,4.5,236.111748282774, 
"Asheville, NC MSA",11700,2127,-.047,.382914691875212,.757149341806627,25249,46008,.177521684217192,.152615348864809,.0665644864109879,.141679430527859,.12,-.0260628303243433,-1.47222222222222,219.65,8.1,208.980665788192,3
"Athens-Clarke County, GA MSA",12020,2458, ,.440027712456974,1.11237373737374,25480,48854,.208018468006548,.106661905965048,.0305901828501404,.117654973767029,.159,-.00577409238206288,-1.68030690537084,328.82,8.6,187.87923772716, 
"Auburn-Opelika, AL MSA",12220,1804, ,.449578227501019,1.43376187814421,30696,49437,.164862209900357,.111030377635542,.0507178444775863,.132121682535349,.153,-.0585708956773524,-1.61904761904762,234.15,8.4,230.845612026866, 
"Augusta-Richmond County, GA-SC MSA",12260,1141,-.357,.435770410015394,1.09012131715771,32728,54216,.186099885494282,.161014447385887,.0558114801933263,.120514117224919,.246,-.0872422741586744,-1.59711286089239,332.42,10.5,170.283967073493,2
"Austin-Round Rock, TX MSA",12420,8809,-.073,.382416729623944,.779294011503328,41895,71038,.138014140968784,.0653257823099522,.0959172501551772,.166620127034597,.078,-.018141967053879,-1.65046102263202,284.966666666667,6.9,406.714121385937,6
"Bakersfield, CA MSA",12540,1214,-.057,.40033035371207,.988590057049715,30284,58774,.109746049444396,.0859825717365817,.048409541690705,.0499049710134541,.065,-.0759403947531046,-1.65957446808511,555.233333333333,13.2,103.251311301386,5
"Bangor, ME MSA",12620,1044, ,.416465725087309,.665170556552964,32917,44150, ,.214326008836685, ,.10145343006694,.006,.0562586536864614,-.1,81.34,8,45.3066281389062, 
"Barnstable Town, MA MSA",12700,1194,-.025,.399452883662514,.805213613323678,39275,61294,.106921045780803,.177876830954178,.0368180296775633,.175907364285751,.017,.0166846742325148,-1.23076923076923,432.76,7.9,548.324284196174,1
