MSALabel,MSANo,NumberRespondents,DisproportionateBlackDeath,BlackWeaponAssoc,WhiteImplicit,WhiteExplicit,BlackImplicit,BlackExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentBAdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeWhite,Segregation,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Akron, OH MSA",10420,839,-0.118,0.392658547,0.425608059,1.040339157,-0.019773175,-1.661861075,27619,53750,0.176999967,0.059929123,0.218087552,0.133574436,0.327,303.72,9.7,781.2212113,4
"Albany-Schenectady-Troy, NY MSA",10580,838,-0.078,0.401080059,0.409606787,0.892340343,0.016803891,-1.606382979,30704,64628,0.162990619,0.059378502,0.172665229,0.134774845,0.25,278.86,7.4,309.6920237,1
"Albuquerque, NM MSA",10740,568,-0.028,0.389232934,0.333252292,0.585170341,-0.008523739,-1.685082873,42997,58285,0.0926542,0.117533936,0.072721607,0.100586231,0.011,692.02,9.1,95.56446564,3
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,523,-0.053,0.43006761,0.434261078,0.985285632,0.031371166,-1.19330855,43576,61134,0.157325753,0.074644105,0.225058359,0.116164763,0.057,204.3,9.2,565.0732951,1
"Ames, IA MSA",11180,188, ,0.377646137,0.379865646,0.992230855,-0.150578406,-1.830508475,21116,52019, , ,0.092882083,0.158724259,0.014,201.58,5.7,156.3182937, 
"Anchorage, AK MSA",11260,320, ,0.358249224,0.388030504,0.706692913,-0.024784722,-1.496124031,55745,81600,0.11723317,0.085081734,0.130558196,0.136273133,0.036,810.14,7.7,14.47296255, 
"Ann Arbor, MI MSA",11460,674, ,0.35428707,0.383572436,0.705920068,-0.018260287,-2.183988764,35332,64436,0.115924542,0.070315269,0.086713623,0.169157938,0.215,306.6,8.4,488.3964217, 
"Appleton, WI MSA",11540,166, ,0.443324121,0.37076584,0.956977386,0.034399841,-0.5625,25897,60738, , ,0.218630913,0.132366594,0.01,142.56,4.5,236.1117483, 
"Asheville, NC MSA",11700,457,-0.047,0.390737766,0.382914692,0.757149342,-0.02606283,-1.472222222,25249,46008,0.177521684,0.066564486,0.152615349,0.141679431,0.12,219.65,8.1,208.9806658,3
"Athens-Clarke County, GA MSA",12020,277, ,0.402787436,0.440027712,1.112373737,-0.005774092,-1.680306905,25480,48854,0.208018468,0.030590183,0.106661906,0.117654974,0.159,328.82,8.6,187.8792377, 
